Date,Open,High,Low,Close,Volume
2020-09-21,148.2847907207375,148.7202693224239,144.83054756983358,146.4042510986328,40652500
2020-09-22,147.1267751662507,147.77012366790294,145.05819505236752,147.53257751464844,19385800
2020-09-23,147.44911920801871,148.4625042761182,143.04779347579858,143.13722229003906,33403400
2020-09-24,143.10740257862847,145.5812864660386,141.17003093667867,143.13722229003906,31723700
2020-09-25,142.51129481300512,145.89922027963226,142.42188115974992,145.46206665039062,20689300
2020-09-28,147.40937981439995,149.46598496312524,145.4521332838727,149.0487060546875,17600900
2020-09-29,148.8798003523435,149.30700903513167,147.04177213663718,148.3730926513672,18683800
2020-09-30,148.92946358023934,150.98606860329195,147.52860417322788,148.82017517089844,29073700
2020-10-01,149.83357707512198,151.21457690308327,148.52213130842293,151.1947021484375,25872000
2020-10-02,148.44263694390656,152.58563613457244,148.02535808585333,151.86036682128906,29452000
2020-10-05,153.48975724557835,156.29149122296766,153.47981228835627,156.0530548095703,18553600
2020-10-06,157.47378979931116,159.9675333158216,155.32777110749566,155.60595703125,36348000
2020-10-07,157.5632057511149,159.52045220319414,157.43405774462983,159.00381469726562,27049700
2020-10-08,160.67293402350415,161.22930583964373,159.5403156377929,160.81202697753906,37278600
2020-10-09,162.2923765192676,162.65004626165694,160.76233894793768,161.64657592773438,25038100
2020-10-12,162.34204839569287,163.17662127436452,161.54724018361685,162.72952270507812,20336200
2020-10-13,161.46774863653678,162.16321336896212,160.43447375408127,161.64657592773438,20106500
2020-10-14,161.9545793885265,162.8487613963789,159.89798957445717,160.04701232910156,19024900
2020-10-15,158.2586689314028,162.12348248842193,157.78178094009857,161.69627380371094,22865100
2020-10-16,162.15330645319446,162.64012425458685,161.25912439105173,161.2988739013672,17637900
2020-10-19,161.82543864654775,162.96798691005824,158.9938849013316,159.37142944335938,18360600
2020-10-20,160.5139701247153,161.3982071734887,159.30186785650974,159.71914672851562,18927700
2020-10-21,159.8284420448087,160.32520479391047,158.25866993844753,158.3480987548828,17504100
2020-10-22,159.1031555036284,161.13988558711696,158.1493644578991,161.0802764892578,20673900
2020-10-23,162.0142059326172,162.27251709763797,160.20598229748492,162.0142059326172,20889800
2020-10-26,159.87812338970625,160.32520683759768,156.36104975163124,158.51699829101562,26509900
2020-10-27,158.41763487686174,159.0236860265316,156.91741685849672,157.15585327148438,20523000
2020-10-28,153.658663613931,154.43361232212516,152.04914193076135,152.31739807128906,32338700
2020-10-29,151.78089326449984,154.78132932737114,150.68800916213223,154.1355438232422,27203200
2020-10-30,153.32086320428314,154.27463919945973,150.4098255915133,152.09881591796875,31764500
2020-11-02,153.76795237549467,154.88069613130213,152.67506821532902,154.8111572265625,25252100
2020-11-03,157.40422095026648,160.18609508644877,157.03662140555474,159.2025146484375,30257400
2020-11-04,156.7286365774351,161.2988596192854,156.68890223063417,159.38134765625,45226300
2020-11-05,160.9610522630194,164.50794538675623,160.86170881428438,163.84228515625,31911000
2020-11-06,164.54768943957805,164.63711825670808,162.24271814903736,162.56063842773438,24930400
2020-11-09,175.8043221214056,176.94688546394917,168.23366318244325,168.45223999023438,55052700
2020-11-10,170.0915599177519,172.20777405097724,168.65095099719767,171.58184814453125,35492200
2020-11-11,172.21769314455395,172.35678609734197,169.7537543408829,171.51229858398438,23972600
2020-11-12,170.29025991812046,171.5222369615872,167.25007439794797,168.87945556640625,33986800
2020-11-13,170.2406046535412,173.00260439830745,170.20085514297105,172.37667846679688,25440400
2020-11-16,175.3473162590993,176.62895744939553,174.26436197148962,176.4799346923828,31812300
2020-11-17,174.9002053537432,177.6423451696743,173.1516061012612,177.30455017089844,26154500
2020-11-18,177.78145677302297,178.55640545622748,174.72139639011456,174.8207550048828,24377800
2020-11-19,174.5127314923997,176.440173205556,173.93650009773972,176.1619873046875,20187600
2020-11-20,175.5261410924698,176.7879226707027,174.69158334497521,176.35076904296875,24898800
2020-11-23,178.08943452104685,180.81169967508953,177.5727970491858,179.64927673339844,24816000
2020-11-24,182.20262428797233,184.23935440996232,181.1792943287276,183.02725219726562,34945400
2020-11-25,182.31192301637816,183.1166762182626,180.71234640967114,182.40133666992188,21082700
2020-11-27,182.53049930298877,183.29551815441414,182.03373657141304,183.17628479003906,10384400
2020-11-30,182.6298664014771,183.12662915614112,179.152527118829,179.84799194335938,25481600
2020-12-01,182.4112718110559,183.02725271564833,179.8479744274371,181.51708984375,30265000
2020-12-02,180.77195521987377,182.29204796764222,179.5896574916104,181.70587158203125,20142800
2020-12-03,182.15297089049022,183.9810542660168,181.7555667340703,182.72921752929688,19603600
2020-12-04,183.8220873597971,187.22987245725304,182.72920327490112,186.9814910888672,24415700
2020-12-07,187.0113014338227,187.72664100973458,186.2264229558062,187.16033935546875,14671500
2020-12-08,185.9084700928388,189.74347878647663,185.8687357467884,189.5646514892578,20165600
2020-12-09,190.77677222533316,191.56165070598487,186.68343682498386,188.1836700439453,29507600
2020-12-10,186.54433625500994,190.40914971583447,186.09725282679028,190.00181579589844,21245300
2020-12-11,188.75991113855858,190.4787059717537,187.08085065410975,189.06790161132812,30865000
2020-12-14,191.31230324309502,192.46837766179036,189.23931966770854,189.2891387939453,32237700
2020-12-15,191.11297135000612,194.2423759734065,190.0864479205257,194.0231170654297,26807000
2020-12-16,194.47161412349354,194.55134601930007,192.30893777439357,193.3254852294922,25494600
2020-12-17,194.07295162112868,195.71739343282493,193.40521411236858,195.627685546875,23834200
2020-12-18,195.94661205174364,197.16249682440858,194.14272166810412,194.68089294433594,37033400
2020-12-21,191.25249587307798,195.11940906452864,190.83391483801947,194.58123779296875,30873000
2020-12-22,195.32872087797725,197.05287947338255,194.73073923894526,196.79376220703125,21919700
2020-12-23,197.89999455013356,198.9763370433713,197.23224187447067,198.4680633544922,18392000
2020-12-24,199.25539491539195,199.26537090636722,197.3917094794139,198.3385009765625,8904900
2020-12-28,200.48126130579453,200.50118287370188,197.4614861717236,197.60101318359375,27168400
2020-12-29,197.96975780950876,198.3285437230285,192.78730644212652,193.77395629882812,33901300
2020-12-30,194.39188734455587,196.8136810132964,194.37195056825342,195.74729919433594,20595700
2020-12-31,195.95656077603115,196.1758196695624,193.96330916742198,195.39845275878906,24747700
2021-01-04,196.87346877990825,197.2222939192989,190.29574712516032,192.84710693359375,33664200
2021-01-05,192.4384892208461,196.95320328057755,192.4185676523289,195.8270263671875,27442900
2021-01-06,198.80692580309,206.08229775093884,198.48801343006014,203.8398895263672,52952200
